order_id,customer_id,product_id,order_date,quantity,unit_price,status
O003733,,P0060,2022-10-17,1,108.51,completed
O002942,C0230,P0020,2022-01-11,3,550.09,returned
O002078,C0095,P0069,11/15/2023,4,277.95,completed
O000692,C0268,P0073,05/11/2024,2,175.83,completed
O002215,C0195,P0004,2023-04-18,0,86.14,cancelled
O001771,C0456,P0083,2024-01-14,0,242.72,cancelled
O002157,C0466,P0036,2024-03-09,1,281.97,completed
O004525,C0021,P0051,2023-05-05,2,335.6,returned
O004102,C0201,P0094,2022-07-16,4,480.41,returned
O001207,C0309,P0032,2022-11-18,4,72.21,returned
O001499,C0079,P0097,2023-07-09,-1,339.42,completed
O000628,C0148,P0039,2024-05-10,2,367.25,completed
O003900,C0279,P0024,2024-02-20,3,318.08,completed
O001290,C0488,P0070,2024-01-16,0,427.14,cancelled
O004676,C0064,P0100,2022-10-31,2,276.84,completed
O003979,C0228,P0024,10/31/2023,-1,389.77,completed
O004925,C0200,P0003,2023-11-07,2,266.05,completed
O001873,C0331,P0029,2022-01-18,2,408.23,completed
O002079,C0143,P0031,2022-07-26,1,440.33,cancelled
O004066,C0120,P0044,02/14/2023,-1,57.47,completed
O003091,C0390,P0007,2022-05-12,4,406.42,completed
O004556,C0072,P0077,01/19/2024,1,143.44,returned
O002399,C0304,P0040,08/10/2023,-1,219.34,completed
O001150,C0239,P0067,2023-12-03,1,398.87,completed
O003607,C0220,P0080,2023-11-20,1,228.06,completed
O004922,C0087,P0042,2023-08-16,4,503.74,cancelled
O001620,C0041,P0026,2022-07-09,1,175.53,cancelled
O004432,C0446,P0088,2023-11-30,2,79.01,cancelled
O003247,C0328,P0078,2024-05-22,4,264.95,cancelled
O002539,C0173,P0068,03/10/2022,1,310.16,completed
O004700,C0265,P0099,2024-01-30,3,227.89,completed
O002432,C0083,P0079,2022-02-18,1,168.26,completed
O001104,C0093,P0055,2022-01-31,1,422.93,completed
O002249,C0162,P0011,04/15/2024,1,502.24,completed
O000375,C0028,P0006,2022-01-12,0,105.48,completed
O004580,C0094,P0038,2022-12-19,3,486.61,cancelled
O002983,,P0010,2022-08-22,3,120.05,completed
O004615,C0171,P0059,2022-12-11,4,234.99,returned
O003012,C0171,P0079,06/28/2023,1,162.39,completed
O003361,C0161,P0029,2022-12-19,4,367.52,returned
O004045,C0040,P0039,2023-02-09,0,287.64,completed
O001442,C0464,P0096,2024-05-23,4,74.23,returned
O002312,,P0017,2023-08-15,2,297.41,completed
O004999,C0001,P0002,2022-11-13,1,347.96,completed
O004407,C0173,P0076,11/09/2023,1,166.78,cancelled
O002206,C0448,P0050,2023-06-09,3,430.77,returned
O000860,C0333,P0006,2022-03-09,3,94.02,completed
O001464,C0449,P0036,2023-10-29,0,279.83,completed
O003485,C0070,P0096,2022-11-15,1,74.65,cancelled
O000466,C0101,P0041,2023-08-15,-1,250.19,completed
O000957,C0484,P0074,2022-03-20,2,356.01,cancelled
O002728,C0024,P0055,05/03/2024,3,341.07,returned
O002094,C0496,P0049,12/19/2023,4,464.48,completed
O003966,C0190,P0044,09/20/2022,4,62.31,returned
O002357,,P0020,2022-11-30,1,495.45,completed
O004578,C0438,P0089,2024-06-22,4,518.07,cancelled
O001239,C0119,P0096,2024-03-29,4,76.49,returned
O001273,C0361,P0062,2022-12-22,0,135.08,cancelled
O001180,C0067,P0076,2023-08-13,3,241.49,cancelled
O004645,C0134,P0074,2023-03-29,1,373.9,completed
O004154,C0326,P0058,05/09/2022,3,213.42,completed
O003596,C0300,P0051,2022-12-20,2,270.68,returned
O004587,C0164,P0091,10/29/2023,2,29.42,completed
O002892,C0159,P0040,2024-05-19,1,189.38,completed
O002901,C0403,P0005,2022-03-20,1,165.08,completed
O003643,C0039,P0085,2022-07-20,1,166.88,returned
O000668,C0466,P0078,2022-08-29,-1,266.95,cancelled
O000122,C0084,P0005,2024-03-18,2,127.24,completed
O001459,C0048,P0065,2023-08-28,1,501.68,completed
O002958,C0479,P0059,2024-04-15,0,217.15,completed
O002939,C0391,P0052,2022-10-18,3,74.83,completed
O001200,C0139,P0014,2023-05-06,1,163.52,completed
O003545,C0062,P0095,2022-11-30,3,45.95,completed
O004943,C0289,P0061,2022-05-27,0,17.8,cancelled
O001168,C0059,P0020,2023-10-01,2,519.37,completed
O002770,C0161,P0079,2024-02-09,0,148.65,completed
O004398,C0048,P0042,2023-01-01,2,368.52,completed
O004262,C0441,P0037,2024-02-21,0,411.37,completed
O003414,,P0049,2023-02-01,-1,417.3,completed
O002328,C0233,P0022,2023-01-21,1,361.71,completed
O001018,C0320,P0045,2023-11-15,3,506.02,returned
O002834,,P0041,2023-12-15,-1,304.49,completed
O004366,C0416,P0033,2022-08-12,1,94.55,completed
O004137,C0119,P0012,2022-01-30,1,367.31,completed
O002376,C0461,P0082,2023-11-03,1,540.93,completed
O001521,C0075,P0069,2024-05-22,3,273.24,returned
O002573,C0158,P0041,2024-05-23,-1,255.61,returned
O001526,C0322,P0050,2022-07-10,0,422.0,completed
O003434,C0125,P0021,2022-11-14,1,267.64,completed
O003020,C0099,P0050,2024-05-19,-1,369.16,completed
O000053,C0129,P0086,2023-11-02,4,538.5,returned
O004652,C0133,P0009,2024-04-21,4,341.12,completed
O003272,C0328,P0029,2022-05-09,1,349.33,completed
O004724,C0461,P0076,07/02/2022,0,174.84,completed
O003490,C0294,P0096,2023-06-14,3,61.94,completed
O004561,C0356,P0074,2024-04-15,4,446.62,completed
O003641,C0122,P0061,2022-07-05,0,17.31,completed
O001019,C0478,P0092,2023-11-09,4,515.06,completed
O003677,C0458,P0010,2023-04-08,1,117.14,returned
O001486,C0065,P0040,2022-05-04,3,186.47,completed
O002063,C0374,P0007,2023-01-27,2,430.54,returned
O003790,C0373,P0100,2023-06-13,2,273.07,completed
O004201,C0316,P0093,2023-03-15,4,39.27,cancelled
O004569,C0452,P0014,2022-03-05,4,189.53,cancelled
O001650,C0229,P0072,2023-04-22,1,285.75,completed
O003858,,P0090,2023-02-02,1,39.54,completed
O001737,C0201,P0035,2023-01-19,2,570.16,completed
O003233,C0379,P0003,2022-07-03,2,281.66,completed
O002790,C0378,P0075,2022-08-10,4,323.67,completed
O001687,C0393,P0087,2023-04-24,4,235.96,cancelled
O004541,C0059,P0001,2024-05-11,1,283.77,completed
O001015,C0252,P0015,2023-12-05,1,67.37,completed
O000087,C0359,P0059,05/15/2024,0,271.85,completed
O004146,C0449,P0040,2022-12-05,4,213.75,completed
O004808,C0239,P0027,2022-12-07,1,247.0,completed
O003350,C0326,P0045,2022-11-19,3,469.34,completed
O003081,C0274,P0030,2022-05-25,1,352.39,completed
O004913,C0005,P0099,01/31/2023,4,239.11,cancelled
O001282,C0387,P0014,2022-02-06,1,200.95,completed
O001802,C0017,P0047,2023-04-28,1,471.03,completed
O000694,C0300,P0065,2022-12-30,3,347.21,returned
O000136,C0065,P0011,2024-04-07,2,546.25,completed
O004015,C0265,P0036,2024-01-11,0,233.01,cancelled
O003810,C0399,P0052,2022-06-08,-1,71.32,completed
O001648,C0405,P0090,10/17/2022,2,39.64,completed
O003294,C0419,P0055,2023-12-11,1,358.37,completed
O002690,C0124,P0089,05/02/2023,1,483.8,returned
O000236,C0092,P0072,2022-03-17,1,274.28,completed
O003474,C0020,P0076,2022-07-26,1,191.23,cancelled
O001988,C0083,P0078,2023-01-29,1,187.71,completed
O003527,C0470,P0065,2022-01-18,1,427.21,completed
O004354,C0141,P0064,2024-05-25,0,97.07,completed
O000870,C0227,P0009,11/26/2022,1,463.19,completed
O004242,C0036,P0038,2024-06-15,1,474.01,completed
O001008,C0373,P0002,2024-01-12,1,319.17,completed
O000663,C0196,P0027,2022-10-22,-1,277.58,completed
O000497,C0487,P0016,11/04/2023,2,137.65,cancelled
O000342,C0323,P0096,2022-11-27,1,75.59,completed
O001348,C0042,P0027,2022-11-05,3,260.13,completed
O001540,C0363,P0033,2022-12-30,1,83.27,returned
O002459,C0151,P0003,2022-07-27,3,248.35,returned
O000114,C0333,P0091,2024-03-21,-1,35.4,cancelled
O002045,C0144,P0022,2023-07-06,-1,324.24,cancelled
O000023,C0225,P0058,2023-05-03,1,205.78,completed
O001912,C0148,P0099,2023-07-07,-1,219.1,completed
O001063,C0447,P0028,2024-06-13,-1,460.33,completed
O000601,C0345,P0024,2022-07-09,-1,450.24,returned
O002860,C0329,P0067,2023-01-26,1,360.39,completed
O004080,C0460,P0089,2022-12-17,4,509.54,completed
O001826,,P0030,2022-09-18,0,279.51,returned
O003460,C0325,P0031,2022-06-29,1,373.7,returned
O001062,C0326,P0019,2022-10-04,3,167.77,completed
O001828,C0257,P0094,2023-03-03,1,476.65,completed
O003710,C0063,P0010,05/14/2022,1,160.46,completed
O002724,C0111,P0041,2023-05-08,1,250.97,completed
O003055,C0070,P0012,2023-12-29,1,409.2,completed
O002199,C0312,P0030,2022-02-03,0,318.47,completed
O004168,C0282,P0097,2024-04-28,1,252.6,cancelled
O001979,C0427,P0062,05/25/2024,1,130.9,cancelled
O000395,C0214,P0020,2023-06-18,2,484.0,cancelled
O003122,C0275,P0062,2022-04-08,3,140.73,completed
O002013,C0153,P0044,2023-10-26,1,68.72,cancelled
O001465,C0091,P0017,2022-05-25,2,273.8,returned
O001716,,P0012,2024-06-15,1,451.15,returned
O002284,C0356,P0092,2023-05-06,3,531.82,completed
O003356,,P0022,2022-09-02,4,364.1,returned
O002119,C0387,P0015,2023-10-04,1,62.1,returned
O004516,C0375,P0086,2024-03-27,3,483.98,completed
O004126,C0216,P0036,2022-11-15,0,258.06,completed
O004880,C0050,P0073,02/13/2023,1,184.89,returned
O000704,C0027,P0014,2022-10-29,0,211.31,returned
O004379,C0483,P0024,2023-11-28,1,355.64,completed
O002468,C0331,P0080,2023-11-16,1,244.33,completed
O002520,C0053,P0100,2024-02-18,0,349.48,completed
O002049,C0301,P0030,2023-01-17,2,283.92,completed
O000042,C0413,P0045,2024-04-13,2,445.64,completed
O002668,,P0064,2022-04-01,4,128.69,completed
O000796,C0464,P0082,2024-03-19,2,486.36,returned
O003772,C0367,P0094,2022-01-22,4,458.56,completed
O001557,C0329,P0007,07/10/2023,1,427.99,completed
O002465,C0073,P0018,2022-12-24,1,176.06,completed
O002703,C0494,P0016,08/07/2022,0,121.51,returned
O003029,C0432,P0027,07/08/2023,1,262.93,cancelled
O003472,C0414,P0055,2023-08-06,0,346.02,cancelled
O002734,C0243,P0054,2024-03-01,1,529.08,completed
O002672,C0361,P0045,2024-05-17,0,515.96,completed
O001208,C0337,P0033,2023-05-06,1,97.88,completed
O001748,C0064,P0053,2024-04-08,-1,388.08,completed
O002989,C0295,P0052,2023-12-16,3,80.0,cancelled
O002151,C0273,P0030,2023-07-02,0,358.07,completed
O003952,C0329,P0063,2022-11-20,1,8.58,cancelled
O001730,C0241,P0089,2023-12-13,1,482.5,cancelled
O003930,C0240,P0019,2024-02-16,4,198.0,completed
O004557,C0283,P0083,2023-12-15,4,215.45,returned
O003872,C0497,P0054,2024-05-26,4,399.43,completed
O001202,C0350,P0003,07/02/2023,0,275.05,returned
O003364,C0369,P0096,2023-01-19,0,55.76,completed
O002108,C0142,P0012,2023-04-06,0,436.86,completed
O002069,C0137,P0063,2023-07-24,3,9.32,returned
O001932,C0426,P0043,2023-06-16,1,180.37,cancelled
O003208,C0070,P0011,2024-01-15,2,541.51,returned
O003681,C0159,P0084,2022-10-14,2,492.36,returned
O004187,C0032,P0046,2023-08-31,1,140.35,returned
O003857,C0423,P0078,2023-05-05,2,193.02,completed
O001254,C0197,P0023,10/20/2022,4,95.28,completed
O002185,C0477,P0058,2024-03-15,1,189.45,completed
O004993,C0217,P0031,2024-01-20,1,301.99,returned
O003716,,P0042,07/25/2023,1,382.16,cancelled
O001752,C0224,P0068,07/30/2022,-1,254.76,cancelled
O001654,C0168,P0098,2023-02-10,1,37.09,cancelled
O002263,C0202,P0080,12/23/2023,1,209.58,returned
O004258,C0101,P0042,2024-06-14,2,433.38,cancelled
O003072,C0049,P0058,2023-01-02,1,231.99,completed
O000158,C0134,P0084,2024-06-01,3,398.14,completed
O002011,C0457,P0043,2022-06-12,1,185.2,completed
O001881,C0183,P0031,2024-05-28,4,381.56,returned
O002126,C0249,P0035,2022-10-21,1,437.12,completed
O002613,C0400,P0051,2022-02-02,4,383.73,completed
O003569,C0439,P0076,2022-05-05,3,228.61,completed
O003931,C0001,P0046,2022-03-31,0,146.64,completed
O003365,C0015,P0068,2022-06-27,0,230.42,returned
O003793,C0199,P0073,2022-03-23,3,174.76,cancelled
O003713,C0424,P0010,2023-05-24,2,123.86,completed
O002392,C0181,P0082,2023-05-02,0,569.16,cancelled
O003325,C0274,P0011,2022-12-26,1,484.1,completed
O001195,C0280,P0015,2023-09-26,1,78.22,completed
O003752,C0351,P0089,2023-09-24,0,480.88,completed
O003917,C0429,P0043,2022-05-06,4,157.01,completed
O000347,C0331,P0069,2022-03-03,4,324.04,completed
O002990,,P0087,2023-09-06,3,199.34,returned
O004400,C0155,P0016,04/07/2024,1,141.39,completed
O000665,C0465,P0075,2023-09-25,-1,363.25,completed
O002964,C0354,P0050,2022-12-03,3,316.11,completed
O004783,C0050,P0023,2023-04-25,-1,72.12,completed
O001756,C0232,P0003,2022-09-07,1,257.42,returned
O001184,C0059,P0096,2023-09-19,3,53.34,cancelled
O000830,C0256,P0046,2022-11-09,1,115.61,returned
O000686,C0252,P0095,2022-05-04,3,43.36,cancelled
O004315,C0083,P0030,2022-08-08,1,393.25,cancelled
O004581,C0304,P0056,2023-08-30,2,394.04,completed
O003300,C0461,P0084,2022-08-29,4,503.93,completed
O003010,C0072,P0056,2023-08-22,1,286.48,completed
O004019,C0050,P0012,01/25/2024,1,472.4,cancelled
O001960,C0024,P0083,2022-05-20,0,195.79,completed
O002075,,P0087,09/06/2022,1,236.05,completed
O000283,C0438,P0016,2024-01-24,1,139.67,completed
O002145,C0399,P0075,2022-12-29,1,378.62,returned
O002132,C0121,P0090,2024-03-29,1,38.69,cancelled
O003573,C0420,P0094,2023-10-17,1,378.82,returned
O000448,C0142,P0099,07/17/2022,3,257.56,completed
O001889,C0474,P0001,2023-08-20,2,326.91,completed
O004760,C0054,P0036,2022-06-07,0,224.8,completed
O003228,C0345,P0097,2023-05-16,4,278.24,returned
O003526,C0424,P0025,2022-11-03,3,279.47,completed
O003732,C0040,P0028,2022-11-27,1,483.17,completed
O004739,C0141,P0065,2022-11-11,1,406.67,completed
O000703,C0494,P0003,2022-06-06,-1,308.16,completed
O003395,C0268,P0100,2024-06-21,0,354.96,completed
O000877,C0146,P0078,2022-11-10,-1,225.31,returned
O000129,C0158,P0061,2024-05-14,1,15.33,completed
O002813,C0087,P0045,2024-02-27,-1,427.36,completed
O002752,C0056,P0029,2023-09-23,4,374.28,returned
O002927,C0009,P0063,2022-03-17,3,9.62,completed
O001600,C0387,P0049,2023-04-01,1,404.47,completed
O000810,C0415,P0022,2022-09-03,4,446.0,cancelled
O004806,C0113,P0037,2023-10-16,2,491.7,returned
O000607,C0062,P0052,2023-06-20,1,93.5,completed
O004016,C0490,P0044,2022-03-01,2,60.44,completed
O002773,C0290,P0058,2023-10-19,1,207.82,completed
O001076,C0045,P0014,05/27/2024,1,167.86,returned
O002032,C0313,P0063,2022-11-29,1,9.48,completed
O000545,C0095,P0048,2024-06-14,0,49.79,completed
O001430,C0190,P0043,2023-04-29,3,180.45,completed
O003907,C0002,P0025,2022-06-07,2,320.58,completed
O001059,C0059,P0005,2022-08-06,-1,141.11,completed
O002917,C0277,P0089,2023-09-06,1,509.54,completed
O000551,C0165,P0035,2024-02-11,2,486.76,completed
O004047,C0085,P0071,2023-06-20,1,106.41,completed
O004985,C0479,P0050,2022-09-03,0,345.81,completed
O002493,C0233,P0056,2022-07-01,0,365.37,completed
O004941,C0420,P0067,05/26/2022,1,314.54,completed
O002629,C0088,P0070,2023-08-19,1,453.31,completed
O002580,C0231,P0012,2023-10-11,3,465.23,returned
O000199,C0046,P0058,2024-03-31,-1,205.53,completed
O004002,C0475,P0001,2022-04-04,1,276.29,completed
O000387,C0131,P0037,2023-01-21,1,383.71,completed
O001597,C0149,P0072,2022-12-13,1,286.12,completed
O001589,C0073,P0070,2022-08-07,0,417.33,cancelled
O004606,C0345,P0004,2024-06-28,3,76.76,completed
O003379,C0200,P0044,2023-09-12,1,67.82,completed
O000401,,P0079,2022-04-20,1,149.55,cancelled
O004764,C0364,P0069,2024-04-07,4,282.94,returned
O002150,C0001,P0074,2022-10-09,1,512.21,completed
O003201,C0257,P0069,2023-08-24,1,322.74,completed
O002659,C0055,P0088,05/23/2022,4,78.96,completed
O003398,,P0017,2022-07-08,1,226.21,completed
O002041,C0288,P0094,2023-06-21,-1,483.52,completed
O001079,C0101,P0016,2023-01-26,1,119.48,returned
O003962,C0475,P0012,2022-04-21,2,518.92,completed
O000306,,P0087,2023-04-17,4,189.58,completed
O001194,C0274,P0067,2022-10-22,1,394.19,returned
O001850,C0049,P0099,2023-01-07,1,246.23,completed
O000797,C0096,P0006,2024-01-13,-1,93.71,returned
O001854,C0138,P0018,2022-04-06,4,179.62,cancelled
O002501,C0180,P0023,07/09/2023,3,88.21,completed
O002301,C0465,P0016,2022-03-11,4,128.2,completed
O000025,C0170,P0060,2022-06-28,1,103.75,completed
O001171,C0440,P0016,2023-11-29,-1,123.63,completed
O000289,C0315,P0005,2023-06-07,2,130.83,completed
O003147,C0396,P0028,2023-05-12,1,512.08,cancelled
O000615,C0415,P0070,2023-07-10,4,317.48,returned
O000786,C0354,P0010,2024-01-26,2,160.46,completed
O003886,C0358,P0100,2024-02-29,0,334.01,cancelled
O004342,C0160,P0085,2023-12-22,1,200.5,completed
O000514,C0174,P0093,01/17/2022,1,27.09,cancelled
O003355,C0097,P0093,09/28/2023,4,36.13,completed
O002996,C0241,P0001,2022-06-26,3,270.31,returned
O002487,C0454,P0031,10/04/2022,2,384.18,completed
O000973,C0061,P0071,2023-11-13,3,99.06,completed
O004858,C0259,P0056,2023-02-15,-1,427.65,cancelled
O002355,C0058,P0008,04/25/2023,1,125.27,completed
O002886,C0029,P0030,2023-09-28,1,320.09,cancelled
O003276,C0367,P0019,2022-02-19,1,177.84,returned
O000419,C0007,P0064,09/30/2023,3,120.38,returned
O004312,C0429,P0066,2023-06-03,1,249.48,completed
O002589,C0479,P0014,2023-03-09,1,181.82,completed
O004309,C0085,P0079,03/15/2024,-1,141.01,completed
O003820,C0357,P0087,2023-06-30,1,204.15,completed
O000374,C0214,P0016,2022-12-23,0,145.87,cancelled
O004195,C0457,P0002,2023-01-04,-1,278.24,completed
O000447,C0012,P0040,2022-04-16,3,200.64,completed
O002332,C0371,P0092,2022-06-01,2,383.65,returned
O001548,C0350,P0067,04/21/2022,4,291.41,completed
O000934,C0033,P0075,2023-02-08,-1,343.59,completed
O001781,,P0028,2024-02-02,3,453.61,returned
O003159,C0069,P0047,02/04/2023,0,422.91,returned
O000168,C0074,P0092,08/07/2023,-1,401.26,completed
O004607,C0125,P0039,2023-06-06,1,312.21,completed
O004532,C0495,P0085,2022-11-20,4,192.19,cancelled
O000937,C0436,P0011,2022-03-31,3,544.72,completed
O003577,C0270,P0032,02/18/2024,1,57.16,cancelled
O004295,C0444,P0028,2024-03-05,4,477.16,cancelled
O000939,C0338,P0018,2024-03-12,3,223.75,cancelled
O001490,C0082,P0022,2022-06-20,4,399.56,completed
O002175,C0401,P0099,2022-01-30,-1,244.67,cancelled
O004533,C0154,P0017,2022-03-22,-1,290.19,completed
O000292,C0494,P0029,2022-12-23,4,356.27,returned
O003977,C0002,P0029,05/31/2022,1,276.79,completed
O000480,C0241,P0061,2023-07-02,1,15.86,completed
O004992,C0200,P0024,2022-09-24,2,346.31,cancelled
O002007,C0277,P0014,2022-01-16,4,215.83,completed
O000360,C0271,P0010,04/23/2024,3,155.92,completed
O001307,C0479,P0070,2024-02-25,0,415.66,cancelled
O003161,C0003,P0049,2022-04-24,2,410.43,returned
O003934,C0004,P0064,2022-05-14,2,107.94,completed
O003787,C0195,P0068,2023-07-04,1,221.26,completed
O001164,C0044,P0084,2023-04-17,1,364.93,completed
O003515,C0427,P0011,01/24/2024,0,381.45,completed
O000942,C0039,P0034,2024-01-17,0,454.57,returned
O004960,C0160,P0067,2023-01-09,1,311.24,completed
O001966,C0076,P0014,2023-01-29,2,184.31,completed
O003654,C0450,P0038,2022-01-02,-1,416.34,cancelled
O003661,C0166,P0088,2023-02-15,1,89.86,completed
O001489,C0410,P0070,2024-05-30,1,350.96,cancelled
O001572,C0379,P0077,2023-01-15,-1,141.86,cancelled
O002191,C0186,P0035,2024-06-18,3,398.02,returned
O002318,C0068,P0088,2022-04-09,2,66.04,cancelled
O000417,C0084,P0023,06/11/2024,1,89.33,completed
O004991,C0044,P0029,2023-02-23,2,281.37,completed
O003267,C0310,P0001,2023-07-16,-1,379.13,completed
O004614,C0001,P0081,2022-10-29,0,27.54,completed
O002454,C0356,P0077,2023-09-27,3,118.76,completed
O004029,C0350,P0024,2023-05-09,3,330.46,returned
O001532,C0445,P0009,12/22/2022,-1,432.87,completed
O004070,C0299,P0087,2022-09-26,4,243.7,returned
O002678,C0281,P0015,2024-06-18,0,65.14,returned
O004951,C0150,P0068,2022-03-04,4,288.24,returned
O000367,C0230,P0001,2023-01-04,-1,367.21,cancelled
O004397,C0350,P0021,2024-04-03,1,208.42,cancelled
O002740,C0390,P0060,2022-04-16,1,131.57,returned
O004875,C0323,P0021,2023-02-20,2,297.77,completed
O000339,C0093,P0033,2023-07-11,-1,93.85,completed
O004202,C0114,P0079,2022-08-07,1,166.31,cancelled
O004086,C0021,P0086,2022-03-03,2,396.03,cancelled
O004061,C0032,P0100,2023-04-27,2,331.42,completed
O001813,C0459,P0005,2022-11-06,2,131.08,completed
O000218,C0381,P0050,2022-04-15,2,343.77,completed
O004609,C0230,P0067,2022-01-25,1,304.1,returned
O002663,C0103,P0017,2022-04-02,1,279.15,returned
O002035,C0298,P0005,2023-06-19,4,115.66,returned
O000697,C0041,P0078,2022-08-05,1,205.19,returned
O004870,C0385,P0025,2022-04-21,1,270.86,completed
O003202,C0024,P0086,07/09/2022,1,479.39,completed
O000125,C0170,P0025,2022-02-24,1,289.32,cancelled
O003925,C0429,P0009,2023-04-28,1,451.79,completed
O002762,C0461,P0025,2022-08-19,1,269.86,completed
O003453,C0126,P0097,2022-06-11,3,276.14,completed
O002667,C0437,P0050,03/06/2023,2,434.04,cancelled
O002478,C0384,P0096,2022-10-16,0,54.52,completed
O002597,C0485,P0065,2022-07-27,3,475.28,cancelled
O000678,C0093,P0096,2022-07-28,3,64.55,cancelled
O003565,C0038,P0085,2023-10-01,2,227.94,completed
O003560,C0454,P0058,2024-05-17,3,262.19,cancelled
O002745,C0049,P0035,2024-03-24,1,424.71,returned
O001436,C0400,P0089,2023-04-27,1,573.6,completed
O004156,C0161,P0100,2022-06-27,2,289.36,cancelled
O003117,C0127,P0004,02/07/2024,0,82.88,cancelled
O004025,C0436,P0070,2022-01-09,4,444.71,cancelled
O002369,,P0016,01/26/2023,1,109.58,cancelled
O001125,C0390,P0091,2023-06-11,4,29.26,cancelled
O003884,C0219,P0078,08/15/2022,1,245.9,cancelled
O003675,C0478,P0098,2023-08-03,1,52.17,returned
O001022,C0181,P0055,2022-07-06,0,376.01,cancelled
O002102,C0134,P0021,2022-12-17,4,290.93,completed
O000735,C0025,P0016,2022-12-29,1,124.46,completed
O003467,C0375,P0056,2023-03-23,3,397.42,completed
O001639,C0484,P0030,2022-09-10,2,398.62,returned
O004572,C0323,P0100,2023-05-04,1,290.48,completed
O003019,C0085,P0062,2023-01-21,3,109.03,completed
O001050,C0233,P0038,2023-05-26,1,364.53,completed
O001051,C0037,P0099,2022-12-28,1,259.63,completed
O000995,C0002,P0028,07/31/2022,1,446.96,cancelled
O001463,C0429,P0084,2023-01-05,3,398.47,completed
O001591,C0483,P0089,2023-03-19,1,427.61,completed
O000416,C0194,P0006,2023-09-19,1,125.9,cancelled
O003561,C0368,P0033,2022-12-16,1,95.63,cancelled
O000635,C0325,P0053,2024-05-30,1,396.12,completed
O001843,C0333,P0096,2022-01-18,4,73.02,returned
O002417,C0242,P0017,2023-01-15,4,310.82,completed
O003142,C0472,P0008,2022-04-13,2,98.48,completed
O004807,C0481,P0009,2024-05-26,3,376.73,completed
O000293,C0134,P0065,08/12/2023,1,362.74,completed
O000249,C0161,P0029,2022-06-22,1,370.74,completed
O002338,C0485,P0031,2024-01-10,4,367.12,completed
O002783,C0303,P0001,2023-12-19,1,310.13,returned
