product_id,name,category,brand,base_price
P0074,USB-C Charging Hub,Electronics,ApexWear,432.59
P0075,HDMI Cable 6ft,Electronics,TechNova,338.31
P0076,Resistance Bands Set - Black,Sports,TechNova,204.29
P0077,Waterproof Rain Jacket - Blue,Clothing,StyleCo,128.07
P0078,Instant Pot 6-Quart - White,Home & Garden,NovaTech,227.05
P0079,Webcam 1080p - Gray,Electronics,HomeBase,142.87
P0080,Gaming Mouse - White,Electronics,StyleCo,224.34
P0081,Workout Gloves - Red,Sports,StyleCo,30.03
P0082,Becoming - Red,Books,TechNova,484.64
P0083,Atomic Habits - White,Books,HomeBase,206.16
P0084,Compost Bin for Kitchen - Gray,Home & Garden,ActiveGear,432.99
P0085,LED Smart Bulb 4-Pack - Black,Home & Garden,HomeBase,192.58
P0086,Classic Crew Neck T-Shirt - Gray,Clothing,PageTurner,463.62
P0087,Deep Work - Gray,Books,PageTurner,214.38
P0088,Swim Goggles Anti-Fog - Red,Sports,ApexWear,81.61
P0089,Non-Stick Frying Pan Set - Blue,Home & Garden,ActiveGear,484.5
P0090,Trekking Poles Collapsible - Red,Sports,NovaTech,35.16
P0091,Long Sleeve Henley - Blue,Clothing,TechNova,29.81
P0092,Foam Roller for Muscle Recovery - Gray,Sports,NovaTech,460.09
P0093,Gym Bag with Wet Pocket - Red,Sports,HomeBase,33.15
P0094,Thinking Fast and Slow - Red,Books,StyleCo,426.4
P0095,Running Shorts - Black,Clothing,UrbanEdge,38.63
P0096,Wool Blend Scarf - White,Clothing,PremiumLine,64.33
P0097,Scented Soy Candle Set - Red,Home & Garden,ActiveGear,291.55
P0098,Cycling Gloves - Black,Sports,UrbanEdge,45.57
P0099,4K Smart TV 55-inch - Red,Electronics,UrbanEdge,263.77
P0100,Tennis Racket Beginner - Blue,Sports,ActiveGear,336.5
